TARGET_FID,INTERSECT
0,N
1,N
8,N
9,N
10,N
11,N
12,N
13,N
14,N
15,N
16,N
17,N
18,N
19,N
20,N
21,N
22,N
23,N
24,N
25,N
26,N
27,N
28,N
29,N
30,N
31,N
32,N
33,N
34,N
35,N
36,N
37,N
38,N
39,N
40,N
41,N
42,N
44,N
45,N
51,N
53,N
54,N
55,N
56,N
57,N
58,N
59,N
60,N
61,N
62,N
63,N
64,N
65,N
66,N
67,N
68,N
69,N
70,N
71,N
72,N
73,N
74,N
75,N
83,N
84,N
85,N
86,N
87,N
88,N
89,N
90,N
91,N
92,N
93,N
94,N
95,N
96,N
97,N
98,N
99,N
100,N
101,N
102,N
103,N
104,N
105,N
106,N
107,N
108,N
109,N
110,N
111,N
112,N
113,N
114,N
115,N
116,N
117,N
118,N
119,N
120,N
121,N
122,N
123,N
124,N
125,N
126,N
127,N
128,N
129,N
130,N
131,N
137,N
138,N
139,N
140,N
141,N
142,N
143,N
144,N
145,N
146,N
147,N
148,N
149,N
150,N
151,N
152,N
153,N
154,N
155,N
156,N
157,N
158,N
159,N
160,N
161,N
162,N
163,N
164,N
165,N
166,N
167,N
168,N
169,N
170,N
171,N
187,N
190,N
191,N
192,N
193,N
194,N
195,N
196,N
197,N
198,N
199,N
201,N
202,N
205,N
207,N
208,N
209,N
210,N
211,N
212,N
216,N
217,N
219,N
220,N
221,N
222,N
223,N
224,N
227,N
228,N
229,N
230,N
231,N
232,N
233,N
234,N
235,N
236,N
239,N
240,N
241,N
242,N
243,N
244,N
245,N
248,N
249,N
250,N
251,N
253,N
254,N
257,N
259,N
260,N
261,N
262,N
263,N
264,N
265,N
266,N
267,N
268,N
269,N
270,N
271,N
272,N
273,N
274,N
275,N
276,N
277,N
280,N
290,N
295,N
299,N
323,N
325,N
326,N
327,N
331,N
333,N
336,N
337,N
338,N
340,N
341,N
342,N
343,N
347,N
348,N
350,N
352,N
353,N
354,N
355,N
359,N
363,N
365,N
367,N
369,N
370,N
371,N
372,N
373,N
375,N
376,N
377,N
378,N
379,N
380,N
381,N
382,N
383,N
384,N
385,N
386,N
387,N
388,N
389,N
390,N
391,N
395,N
396,N
397,N
398,N
399,N
400,N
401,N
402,N
403,N
404,N
405,N
406,N
407,N
408,N
409,N
410,N
411,N
412,N
413,N
414,N
415,N
416,N
417,N
418,N
419,N
420,N
421,N
422,N
423,N
424,N
425,N
426,N
427,N
428,N
429,N
430,N
431,N
432,N
433,N
434,N
435,N
436,N
437,N
438,N
439,N
440,N
441,N
442,N
443,N
444,N
445,N
446,N
447,N
448,N
449,N
450,N
451,N
452,N
453,N
454,N
455,N
456,N
457,N
458,N
459,N
460,N
461,N
462,N
463,N
