TARGET_FID,Number_of_lanes,"Population,_2018","Households_(occupied_housing_units),_2018","Percent_of_zero-car_households_in_CBG,_2018","Total_employment,_2017"
0,2,4317,1790,0.011731844,2306
1,2,4317,1790,0.011731844,2306
2,2,4317,1790,0.011731844,2306
3,2,4317,1790,0.011731844,2306
4,2,4317,1790,0.011731844,2306
5,2,4317,1790,0.011731844,2306
6,2,4317,1790,0.011731844,2306
7,2,4317,1790,0.011731844,2306
8,2,4317,1790,0.011731844,2306
9,2,2019,703,0.011379801,194
10,2,4317,1790,0.011731844,2306
11,2,4317,1790,0.011731844,2306
12,2,4317,1790,0.011731844,2306
13,2,4317,1790,0.011731844,2306
14,2,4317,1790,0.011731844,2306
15,2,2019,703,0.011379801,194
16,2,4317,1790,0.011731844,2306
17,2,4317,1790,0.011731844,2306
18,2,4317,1790,0.011731844,2306
19,2,4317,1790,0.011731844,2306
20,2,4317,1790,0.011731844,2306
21,2,4317,1790,0.011731844,2306
22,2,4317,1790,0.011731844,2306
23,2,4317,1790,0.011731844,2306
24,2,4317,1790,0.011731844,2306
25,2,4317,1790,0.011731844,2306
26,2,4317,1790,0.011731844,2306
27,2,4317,1790,0.011731844,2306
28,2,4317,1790,0.011731844,2306
29,2,4317,1790,0.011731844,2306
30,2,4317,1790,0.011731844,2306
31,2,4317,1790,0.011731844,2306
32,2,4317,1790,0.011731844,2306
33,2,4317,1790,0.011731844,2306
34,2,4317,1790,0.011731844,2306
35,2,4317,1790,0.011731844,2306
36,2,4317,1790,0.011731844,2306
37,2,4317,1790,0.011731844,2306
38,2,4317,1790,0.011731844,2306
39,2,4317,1790,0.011731844,2306
40,2,4317,1790,0.011731844,2306
41,2,4317,1790,0.011731844,2306
42,2,4317,1790,0.011731844,2306
43,2,969,521,0.015355086,514
44,2,1591,692,0.147398844,5478
45,2,1591,692,0.147398844,5478
46,2,1591,692,0.147398844,5478
47,2,1591,692,0.147398844,5478
48,2,1591,692,0.147398844,5478
49,2,969,521,0.015355086,514
50,2,1591,692,0.147398844,5478
51,2,4317,1790,0.011731844,2306
52,2,4317,1790,0.011731844,2306
53,2,4317,1790,0.011731844,2306
54,2,4317,1790,0.011731844,2306
55,2,4317,1790,0.011731844,2306
56,2,4317,1790,0.011731844,2306
57,2,4317,1790,0.011731844,2306
58,2,4317,1790,0.011731844,2306
59,2,4317,1790,0.011731844,2306
60,2,4317,1790,0.011731844,2306
61,2,4317,1790,0.011731844,2306
62,2,4317,1790,0.011731844,2306
63,3,4317,1790,0.011731844,2306
64,3,4317,1790,0.011731844,2306
65,2,4317,1790,0.011731844,2306
66,2,4317,1790,0.011731844,2306
67,2,4317,1790,0.011731844,2306
68,2,969,521,0.015355086,514
69,2,4317,1790,0.011731844,2306
70,2,4317,1790,0.011731844,2306
71,2,4317,1790,0.011731844,2306
72,2,4317,1790,0.011731844,2306
73,2,1646,707,0.01980198,77
74,2,969,521,0.015355086,514
75,2,969,521,0.015355086,514
76,2,4317,1790,0.011731844,2306
77,2,969,521,0.015355086,514
78,2,4317,1790,0.011731844,2306
79,2,4317,1790,0.011731844,2306
80,2,4317,1790,0.011731844,2306
81,2,4317,1790,0.011731844,2306
82,2,4317,1790,0.011731844,2306
83,2,4317,1790,0.011731844,2306
84,2,4317,1790,0.011731844,2306
85,2,4317,1790,0.011731844,2306
86,2,4317,1790,0.011731844,2306
87,2,4317,1790,0.011731844,2306
88,2,4317,1790,0.011731844,2306
89,2,4317,1790,0.011731844,2306
90,2,4317,1790,0.011731844,2306
91,2,4317,1790,0.011731844,2306
92,2,4317,1790,0.011731844,2306
93,2,4317,1790,0.011731844,2306
94,2,4317,1790,0.011731844,2306
95,2,4317,1790,0.011731844,2306
96,2,4317,1790,0.011731844,2306
97,2,4317,1790,0.011731844,2306
98,2,4317,1790,0.011731844,2306
99,2,4317,1790,0.011731844,2306
100,2,4317,1790,0.011731844,2306
101,2,4317,1790,0.011731844,2306
102,2,4317,1790,0.011731844,2306
103,2,4317,1790,0.011731844,2306
104,2,4317,1790,0.011731844,2306
105,2,4317,1790,0.011731844,2306
106,2,4317,1790,0.011731844,2306
107,2,4317,1790,0.011731844,2306
108,2,4317,1790,0.011731844,2306
109,2,4317,1790,0.011731844,2306
110,2,4317,1790,0.011731844,2306
111,2,4317,1790,0.011731844,2306
112,2,4317,1790,0.011731844,2306
113,2,4317,1790,0.011731844,2306
114,2,4317,1790,0.011731844,2306
115,2,4317,1790,0.011731844,2306
116,2,4317,1790,0.011731844,2306
117,2,4317,1790,0.011731844,2306
118,2,4317,1790,0.011731844,2306
119,2,4317,1790,0.011731844,2306
120,2,4317,1790,0.011731844,2306
121,2,4317,1790,0.011731844,2306
122,2,4317,1790,0.011731844,2306
123,2,4317,1790,0.011731844,2306
124,2,4317,1790,0.011731844,2306
125,2,4317,1790,0.011731844,2306
126,2,4317,1790,0.011731844,2306
127,2,2464,973,0.007194245,495
128,2,4317,1790,0.011731844,2306
129,3,4317,1790,0.011731844,2306
130,3,4317,1790,0.011731844,2306
131,3,4317,1790,0.011731844,2306
132,3,4317,1790,0.011731844,2306
133,3,4317,1790,0.011731844,2306
134,3,4317,1790,0.011731844,2306
135,3,4317,1790,0.011731844,2306
136,3,4317,1790,0.011731844,2306
137,3,4317,1790,0.011731844,2306
138,3,4317,1790,0.011731844,2306
139,2,4317,1790,0.011731844,2306
140,3,4317,1790,0.011731844,2306
141,3,4317,1790,0.011731844,2306
142,3,4317,1790,0.011731844,2306
143,2,4317,1790,0.011731844,2306
144,2,4317,1790,0.011731844,2306
145,2,4317,1790,0.011731844,2306
146,2,4317,1790,0.011731844,2306
147,3,4317,1790,0.011731844,2306
148,2,4317,1790,0.011731844,2306
149,2,4317,1790,0.011731844,2306
150,2,4317,1790,0.011731844,2306
151,2,4317,1790,0.011731844,2306
152,2,4317,1790,0.011731844,2306
153,2,4317,1790,0.011731844,2306
154,2,4317,1790,0.011731844,2306
155,2,4317,1790,0.011731844,2306
156,3,4317,1790,0.011731844,2306
157,3,4317,1790,0.011731844,2306
158,3,4317,1790,0.011731844,2306
159,3,4317,1790,0.011731844,2306
160,2,4317,1790,0.011731844,2306
161,3,4317,1790,0.011731844,2306
162,3,4317,1790,0.011731844,2306
163,3,4317,1790,0.011731844,2306
164,2,4317,1790,0.011731844,2306
165,2,4317,1790,0.011731844,2306
166,2,4317,1790,0.011731844,2306
167,2,4317,1790,0.011731844,2306
168,2,4317,1790,0.011731844,2306
169,2,4317,1790,0.011731844,2306
170,2,2019,703,0.011379801,194
171,2,4317,1790,0.011731844,2306
172,2,4317,1790,0.011731844,2306
173,1,4317,1790,0.011731844,2306
174,2,4317,1790,0.011731844,2306
175,2,4317,1790,0.011731844,2306
176,2,4317,1790,0.011731844,2306
177,3,4317,1790,0.011731844,2306
178,2,4317,1790,0.011731844,2306
179,2,2019,703,0.011379801,194
180,2,1646,707,0.01980198,77
181,2,4317,1790,0.011731844,2306
182,3,4317,1790,0.011731844,2306
183,2,4317,1790,0.011731844,2306
184,2,1646,707,0.01980198,77
185,2,4317,1790,0.011731844,2306
186,2,4317,1790,0.011731844,2306
187,2,4317,1790,0.011731844,2306
188,2,4317,1790,0.011731844,2306
189,2,4317,1790,0.011731844,2306
190,2,4317,1790,0.011731844,2306
191,2,4317,1790,0.011731844,2306
192,2,4317,1790,0.011731844,2306
193,2,4317,1790,0.011731844,2306
194,2,4317,1790,0.011731844,2306
195,2,969,521,0.015355086,514
196,2,4317,1790,0.011731844,2306
197,2,4317,1790,0.011731844,2306
198,2,4317,1790,0.011731844,2306
199,2,4317,1790,0.011731844,2306
200,2,969,521,0.015355086,514
201,2,4317,1790,0.011731844,2306
202,2,4317,1790,0.011731844,2306
203,2,4317,1790,0.011731844,2306
204,2,4317,1790,0.011731844,2306
205,2,4317,1790,0.011731844,2306
206,3,4317,1790,0.011731844,2306
207,2,4317,1790,0.011731844,2306
208,2,4317,1790,0.011731844,2306
209,2,4317,1790,0.011731844,2306
210,2,2464,973,0.007194245,495
211,1,4317,1790,0.011731844,2306
212,2,4317,1790,0.011731844,2306
213,2,1551,643,0,328
214,2,4317,1790,0.011731844,2306
215,2,4317,1790,0.011731844,2306
216,2,4317,1790,0.011731844,2306
