TARGET_FID,RF_Number_,RF_Median_,RF_Nationa,RF_Speed_l
0,2,0,1,55
1,2,1,2,45
2,2,5,2,45
3,2,5,2,45
4,2,5,1,45
5,2,5,1,45
6,2,5,2,45
7,2,5,2,45
8,2,1,2,45
9,2,0,1,45
10,2,0,2,55
11,2,0,2,55
12,2,1,2,45
13,2,0,2,50
14,2,0,2,55
15,2,0,1,45
16,2,0,0,50
17,2,0,2,50
18,2,0,1,25
19,2,0,1,25
20,2,0,1,25
21,2,0,1,25
22,2,0,1,25
23,2,0,1,25
24,2,0,1,25
25,2,0,1,25
26,2,0,1,25
27,2,0,1,25
28,2,0,1,25
29,2,0,1,25
30,2,0,1,25
31,2,0,1,25
32,2,0,1,25
33,2,0,1,25
34,2,0,1,25
35,2,0,1,25
36,2,0,2,35
37,2,0,1,25
38,2,0,1,25
39,2,0,1,25
40,2,0,1,25
41,2,0,1,25
42,2,0,1,25
43,2,5,4,50
44,2,0,1,55
45,2,5,4,55
46,2,5,4,55
47,2,5,1,50
48,2,5,4,50
49,2,0,1,50
50,2,5,4,55
51,2,0,1,25
52,2,0,1,25
53,2,0,1,25
54,2,0,1,25
55,2,0,1,25
56,2,0,1,25
57,2,0,1,25
58,2,0,1,25
59,2,0,1,25
60,2,0,1,25
61,2,0,1,25
62,2,0,1,25
63,3,0,1,25
64,3,0,1,25
65,2,0,2,50
66,2,0,2,50
67,2,0,2,50
68,2,5,4,50
69,2,0,2,50
70,2,0,2,50
71,2,5,4,45
72,2,5,4,25
73,3,0,1,25
74,2,0,4,25
75,2,5,4,45
76,2,0,1,25
77,2,0,1,25
78,2,0,1,25
79,2,0,1,25
80,2,0,1,25
81,2,0,1,25
82,2,0,1,25
83,2,0,1,25
84,2,0,1,50
85,2,0,2,50
86,2,5,1,50
87,2,0,0,50
88,2,0,2,50
89,2,5,2,50
90,2,5,2,50
91,2,0,1,45
92,2,0,2,50
93,2,1,3,45
94,2,0,3,45
95,2,0,3,45
96,2,1,3,45
97,3,0,3,45
98,2,5,3,45
99,2,0,1,45
100,2,0,1,45
101,2,5,1,45
102,1,5,3,45
103,2,0,2,45
104,2,5,4,45
105,2,5,3,45
106,2,5,3,25
107,2,1,3,45
108,2,5,3,45
109,2,5,3,45
110,2,5,3,45
111,2,5,3,45
112,2,5,3,45
113,1,5,3,45
114,2,0,1,25
115,2,0,1,25
116,2,0,1,25
117,2,0,1,25
118,2,0,1,45
119,3,0,2,35
120,3,0,2,35
121,3,0,2,35
122,3,0,2,35
123,3,0,2,35
124,3,0,2,35
125,3,0,2,35
126,3,0,2,35
127,3,0,2,35
